permit_id,application_date,province,mining_type,mineral_type,company_size,project_area,estimated_duration,distance_to_water,distance_to_protected_area,distance_to_indigenous_land,expected_employment,environmental_assessment_score,public_comments_received,public_opposition_percentage,company_compliance_history,previous_permits,approval_time_months,approval_confidence,approval_probability,decision_date
NRCAN-A2026,2023-10-20,British Columbia,Open-pit,"Cy,Ka",Large,4465.76,4,38.09,75.21,6.68,258,6.82,486,5.61,5.61,16,11.6,Medium,0.7,2024-10-02
NRCAN-A2027,2024-07-20,British Columbia,Open-pit,Ls,Major,3772.24,8,6.48,92.13,94.35,309,6.08,269,97.06,10.0,5,18.7,Medium,0.6,2026-02-01
NRCAN-A2028,2021-06-01,British Columbia,Underground,"Rb,At",Medium,4654.47,4,48.24,32.42,117.69,368,5.79,705,36.24,3.92,2,17.5,Medium,0.65,2022-11-08
NRCAN-A2029,2022-03-29,British Columbia,Underground,"Si,Sd,Qz",Large,3458.76,21,39.98,29.19,118.56,184,7.93,688,19.37,6.23,5,16.8,Medium,0.7,2023-08-15
NRCAN-A203,2023-04-15,British Columbia,Open-pit,"Gr,Ds,Bs",Large,3375.64,1,24.69,26.53,72.67,193,6.43,965,91.41,5.77,19,20.3,Medium,0.5,2024-12-14
NRCAN-A2030,2024-06-02,British Columbia,Open-pit,Pe,Medium,27.29,26,46.22,14.15,21.06,14,6.97,594,19.06,5.9,0,15.1,Medium,0.6,2025-08-29
NRCAN-A2031,2024-12-11,British Columbia,Underground,"Jd,Gs",Major,2378.31,8,8.54,37.72,9.72,138,4.12,154,52.88,10.0,15,17.9,Medium,0.6,2026-06-01
NRCAN-A2032,2025-11-08,British Columbia,Underground,Ls,Major,1009.34,7,49.58,51.6,8.36,77,6.45,453,75.55,5.06,17,18.9,Medium,0.5,2027-05-29
NRCAN-A2033,2024-10-31,British Columbia,Open-pit,"Ag,Au,Cu",Medium,1627.17,11,35.87,53.74,37.42,273,4.61,1,73.1,5.0,16,17.1,Medium,0.55,2026-03-28
NRCAN-A2010,2023-10-17,British Columbia,Underground,Ls,Large,2248.78,20,14.44,46.61,144.74,226,5.01,250,31.86,8.1,1,14.7,Medium,0.75,2024-12-31
NRCAN-A201,2020-06-27,British Columbia,Open-pit,"Ls,Mb",Medium,3015.97,9,22.09,7.09,4.33,273,4.98,441,34.73,7.89,4,29.6,Low,0.45,2022-12-02
NRCAN-A2009,2025-01-19,British Columbia,Open-pit,"Qz,Ds,Bs",Small,995.17,26,17.72,12.37,108.75,185,6.29,700,91.46,6.12,9,19.3,Medium,0.5,2026-08-21
NRCAN-A2008,2020-12-08,British Columbia,Open-pit,Au,Large,1985.46,13,49.55,60.99,103.72,149,8.96,709,90.71,8.87,2,14.5,Medium,0.65,2022-02-16
NRCAN-A1986,2023-03-29,British Columbia,Underground,"Au,Ag,Pb",Major,352.94,14,32.66,52.31,72.93,190,5.21,387,26.61,2.53,8,13.5,Medium,0.65,2024-05-07
NRCAN-A1987,2025-10-17,British Columbia,Underground,"Au,Wo",Large,2002.01,16,6.07,59.18,71.45,258,3.06,689,15.66,6.04,2,24.9,Low,0.5,2027-11-03
NRCAN-A1988,2024-10-02,British Columbia,Underground,Au,Major,942.06,1,17.77,95.95,125.22,112,3.91,249,17.65,8.37,10,11.9,Medium,0.6,2025-09-24
NRCAN-A1989,2023-08-28,British Columbia,Open-pit,Au,Medium,930.52,24,17.54,41.39,119.03,83,8.79,815,34.6,7.57,5,11.1,Medium,0.8,2024-07-26
NRCAN-A199,2024-06-12,British Columbia,Underground,Ls,Major,2617.72,27,7.64,9.08,20.82,215,8.57,390,13.71,8.9,19,18.7,Medium,0.7,2025-12-25
NRCAN-A1990,2023-11-09,British Columbia,Open-pit,Au,Medium,3368.87,10,33.37,65.09,82.38,297,6.26,383,99.86,10.0,6,19.4,Medium,0.65,2025-06-13
NRCAN-A1991,2022-01-22,British Columbia,Open-pit,Au,Large,386.32,25,8.81,2.11,145.4,157,10.0,681,44.58,6.25,0,15.1,Medium,0.5,2023-04-20
NRCAN-A1992,2022-01-04,British Columbia,Open-pit,Au,Small,2895.82,10,38.94,42.54,110.32,192,5.66,101,53.9,5.45,18,19.1,Medium,0.5,2023-07-31
NRCAN-A1993,2024-05-27,British Columbia,Open-pit,Au,Medium,1238.55,13,12.54,40.96,145.95,119,3.05,448,61.65,5.71,5,26.3,Low,0.3,2026-07-25
NRCAN-A1994,2023-03-30,British Columbia,Open-pit,Au,Large,3369.76,28,14.44,25.48,116.4,355,2.65,817,19.58,6.32,2,25.3,Low,0.5,2025-04-27
NRCAN-A1995,2025-06-11,British Columbia,Open-pit,Au,Large,4052.98,1,17.25,96.43,78.7,285,3.01,633,48.18,7.3,12,18.4,Medium,0.65,2026-12-15
NRCAN-A1996,2021-07-08,British Columbia,Underground,Au,Medium,4037.0,3,7.72,40.34,90.74,271,6.37,557,6.29,4.35,9,14.8,Medium,0.7,2022-09-25
NRCAN-A1931,2024-09-26,British Columbia,Open-pit,Au,Large,804.01,19,34.7,32.41,56.18,181,6.27,495,95.33,4.81,17,15.3,Medium,0.5,2025-12-29
NRCAN-A1997,2021-03-03,British Columbia,Underground,Au,Small,1855.61,14,21.77,89.47,106.41,234,4.54,855,96.92,4.7,16,22.3,Medium,0.55,2023-01-01
NRCAN-A1999,2024-03-12,British Columbia,Open-pit,Au,Medium,3970.54,16,21.41,82.05,112.13,255,5.48,91,2.97,8.26,4,15.1,Medium,0.75,2025-06-08
NRCAN-A2,2021-05-14,British Columbia,Open-pit,"Au,Mo,Ag",Small,313.44,23,17.06,45.14,139.54,103,9.15,279,59.91,6.29,8,17.9,Medium,0.6,2022-11-02
NRCAN-A20,2024-09-16,British Columbia,Open-pit,"Cu,Ag",Major,3032.07,26,16.98,99.15,46.37,189,9.28,844,10.01,8.4,1,12.0,Medium,0.8,2025-09-11
NRCAN-A200,2022-05-16,British Columbia,Underground,"Qz,Ds,Bs",Major,4184.24,20,33.07,64.0,124.42,272,6.18,741,79.0,6.97,1,19.1,Low,0.5,2023-12-10
NRCAN-A2000,2022-09-26,British Columbia,Open-pit,Au,Major,1868.06,6,38.47,15.59,85.45,182,7.34,137,95.34,6.21,16,18.6,Medium,0.6,2024-04-06
NRCAN-A2001,2023-06-28,British Columbia,Underground,Au,Major,2282.49,1,17.86,0.64,132.8,222,7.21,793,91.66,7.02,17,22.2,Medium,0.55,2025-04-24
NRCAN-A2002,2021-08-27,British Columbia,Underground,Au,Small,3496.65,20,13.17,92.89,94.66,325,6.41,893,42.78,6.39,1,20.7,Medium,0.65,2023-05-10
NRCAN-A2003,2021-01-11,British Columbia,Open-pit,Au,Major,348.74,24,24.77,68.68,140.27,100,3.31,374,71.26,6.11,8,23.5,Low,0.35,2022-12-17
NRCAN-A2004,2024-04-11,British Columbia,Underground,Au,Medium,1934.32,5,39.41,10.63,63.61,210,6.72,385,15.58,8.84,7,12.9,High,0.8,2025-05-03
NRCAN-A2005,2024-12-10,British Columbia,Open-pit,Cl,Small,1485.6,8,32.26,74.35,14.89,264,4.47,224,7.57,8.56,9,9.7,High,0.8,2025-09-27
NRCAN-A2006,2021-11-29,British Columbia,Open-pit,"Qz,Bs,Ds",Major,94.8,12,2.0,22.71,96.73,170,4.2,347,82.11,6.24,5,16.0,Low,0.45,2023-03-24
NRCAN-A2007,2023-04-23,British Columbia,Open-pit,Au,Medium,987.9,1,24.05,80.92,116.19,104,6.56,346,69.52,6.02,7,19.2,Medium,0.5,2024-11-19
NRCAN-A1998,2023-04-08,British Columbia,Open-pit,Au,Large,2840.68,21,4.11,51.51,109.32,240,4.31,41,47.28,6.06,19,15.4,Medium,0.7,2024-07-13
NRCAN-A2139,2023-05-06,British Columbia,Underground,Au,Medium,1618.46,19,4.83,30.05,49.78,110,7.51,450,6.95,7.34,1,13.7,Medium,0.8,2024-06-20
NRCAN-A1721,2024-07-24,British Columbia,Underground,"Fe,Ma,Cu",Major,1015.89,22,25.6,57.54,144.45,239,8.22,595,5.79,6.65,7,14.3,High,0.8,2025-09-26
NRCAN-A172,2023-12-06,British Columbia,Open-pit,"Au,Ag,Pb",Medium,1073.41,7,30.04,33.95,115.96,199,3.98,302,28.13,5.27,10,22.8,Medium,0.5,2025-10-20
NRCAN-A1435,2024-10-04,British Columbia,Open-pit,"Cu,Mo,Au",Small,299.38,18,7.7,42.68,5.43,146,9.47,718,55.91,5.25,3,15.3,Medium,0.55,2026-01-06
NRCAN-A1436,2021-11-04,British Columbia,Open-pit,"Cu,Mo,Au",Large,4736.67,2,40.16,37.76,90.49,420,5.45,326,60.28,3.05,19,18.9,Medium,0.55,2023-05-25
NRCAN-A1437,2021-09-18,British Columbia,Underground,Au,Large,4759.39,20,9.4,98.15,88.25,401,2.99,301,42.55,6.22,11,18.8,Medium,0.55,2023-04-05
NRCAN-A1438,2024-03-05,British Columbia,Underground,Mr,Small,103.26,19,40.49,30.05,28.45,186,8.35,346,63.33,3.92,2,15.3,Medium,0.55,2025-06-07
NRCAN-A1439,2022-04-23,British Columbia,Open-pit,"Au,Pt",Large,1790.87,24,20.15,41.69,85.38,199,1.0,905,19.16,6.21,9,17.9,Medium,0.5,2023-10-12
NRCAN-A144,2021-08-13,British Columbia,Underground,"Au,Ag,Cu",Large,4401.38,8,28.93,75.88,61.42,403,3.42,607,51.26,8.34,13,24.3,Low,0.5,2023-08-12
NRCAN-A1440,2022-08-15,British Columbia,Open-pit,Au,Large,413.45,6,13.56,88.07,71.82,60,3.9,980,71.68,8.67,8,18.8,Low,0.45,2024-03-01
NRCAN-A1441,2022-08-22,British Columbia,Open-pit,"Au,Pt",Small,990.87,20,44.15,87.84,48.81,75,6.99,683,36.8,7.5,10,15.2,Medium,0.75,2023-11-21
NRCAN-A1442,2023-02-19,British Columbia,Underground,Au,Major,4893.6,7,38.02,39.45,121.55,354,5.18,548,41.11,10.0,19,11.0,High,0.8,2024-01-15
NRCAN-A1443,2024-02-29,British Columbia,Open-pit,"Au,Pt",Small,4237.97,25,17.78,94.86,54.85,378,3.24,309,16.42,9.95,7,19.7,Medium,0.65,2025-10-12
NRCAN-A1444,2025-05-06,British Columbia,Underground,"Pt,Au",Medium,4561.2,13,29.31,65.35,118.62,278,10.0,101,61.64,4.37,8,17.7,Medium,0.65,2026-10-19
NRCAN-A1445,2020-10-30,British Columbia,Open-pit,"Au,Pt",Major,719.35,2,6.54,85.11,11.49,230,4.75,739,12.35,6.64,5,9.4,Medium,0.65,2021-08-08
NRCAN-A1446,2022-10-15,British Columbia,Underground,"Au,Pt,Cu",Large,1064.47,22,8.11,92.63,41.79,98,3.22,973,50.08,9.25,5,26.5,Low,0.4,2024-12-18
NRCAN-A1447,2025-07-02,British Columbia,Open-pit,Au,Medium,3031.03,7,26.73,23.36,60.4,296,3.05,233,21.04,8.17,8,18.1,Medium,0.65,2026-12-27
NRCAN-A1448,2023-08-28,British Columbia,Open-pit,Au,Small,2513.67,1,32.07,49.92,60.69,309,3.06,294,19.41,8.95,12,18.0,Medium,0.65,2025-02-18
NRCAN-A1449,2022-08-03,British Columbia,Underground,Au,Large,1499.53,6,27.92,58.78,66.19,268,5.58,315,9.58,6.8,19,13.2,Medium,0.7,2023-09-03
NRCAN-A145,2023-04-19,British Columbia,Open-pit,"Au,Ag",Major,4420.39,16,28.01,80.24,97.86,356,4.49,552,35.74,1.56,5,16.9,Medium,0.65,2024-09-06
NRCAN-A1450,2023-02-28,British Columbia,Open-pit,"Gr,Ds,Bs",Major,4507.93,8,37.14,40.12,86.11,344,4.46,559,86.74,9.0,14,14.3,Medium,0.65,2024-05-02
NRCAN-A1451,2025-05-11,British Columbia,Open-pit,Mg,Large,1465.5,13,45.13,21.04,78.16,100,5.75,845,60.49,7.33,8,18.5,Medium,0.6,2026-11-17
NRCAN-A1452,2023-03-03,British Columbia,Open-pit,"Mo,Cu,Zn",Small,787.21,23,19.44,74.32,125.65,53,5.04,257,77.91,4.88,10,17.6,Medium,0.5,2024-08-12
NRCAN-A1453,2024-11-11,British Columbia,Underground,"Tc,Si",Medium,753.97,18,26.89,59.23,29.43,234,6.08,663,11.46,5.9,19,16.0,Medium,0.7,2026-03-06
NRCAN-A1454,2025-10-02,British Columbia,Open-pit,"Au,Ag,Cu",Small,2427.28,14,44.66,89.83,129.04,183,4.9,9,31.33,7.26,16,12.9,Medium,0.75,2026-10-24
NRCAN-A1455,2021-08-12,British Columbia,Open-pit,"Au,Ag,Cu",Medium,673.26,18,23.27,65.5,121.71,57,4.84,425,38.86,3.75,1,13.8,Medium,0.6,2022-09-30
NRCAN-A1456,2020-08-16,British Columbia,Open-pit,Au,Medium,2371.97,29,22.31,1.68,29.35,230,3.91,389,86.0,9.76,18,31.3,Low,0.3,2023-03-13
NRCAN-A1457,2024-07-01,British Columbia,Open-pit,Au,Medium,2315.05,4,38.35,96.67,93.61,185,5.2,130,66.44,5.88,15,20.2,Medium,0.5,2026-02-27
NRCAN-A1434,2023-02-19,British Columbia,Underground,"Mo,Cu",Major,2107.24,26,29.84,3.39,109.1,265,7.88,645,25.37,6.52,1,22.5,Medium,0.55,2024-12-25
NRCAN-A1458,2021-08-23,British Columbia,Open-pit,"Ag,Au,Zn",Large,4421.71,15,43.88,59.31,33.49,299,6.56,189,49.05,4.51,12,15.6,Medium,0.7,2022-12-04
NRCAN-A1433,2023-04-20,British Columbia,Underground,"Cu,Mo,Ag",Large,2864.45,14,14.36,82.66,68.38,227,6.15,825,54.81,7.11,2,16.8,Medium,0.6,2024-09-05
NRCAN-A1431,2023-02-24,British Columbia,Underground,"Cu,Ag",Major,4806.89,2,5.22,83.87,90.73,307,7.42,750,60.86,3.38,19,18.3,Medium,0.65,2024-08-26
NRCAN-A1409,2022-04-08,British Columbia,Underground,Cl,Major,3650.28,7,21.05,12.48,77.08,357,7.49,233,99.28,5.44,5,18.5,Medium,0.6,2023-10-15
NRCAN-A141,2023-09-24,British Columbia,Open-pit,"Cu,Au,Ag",Major,50.73,9,18.98,55.6,51.34,76,7.83,420,57.72,6.3,12,15.9,Medium,0.6,2025-01-13
NRCAN-A1410,2023-01-05,British Columbia,Underground,Cl,Medium,3673.47,18,24.89,36.58,52.19,380,4.84,634,91.19,2.68,6,21.8,Medium,0.55,2024-10-20
NRCAN-A1411,2023-11-30,British Columbia,Open-pit,Cl,Major,664.28,23,3.75,36.55,56.32,158,4.63,134,40.82,9.21,7,9.8,Medium,0.75,2024-09-19
NRCAN-A1412,2024-10-05,British Columbia,Open-pit,Cl,Medium,1149.14,18,2.01,3.86,65.62,222,5.43,429,60.43,9.56,2,28.2,Low,0.4,2027-01-29
NRCAN-A1413,2020-07-16,British Columbia,Open-pit,Cl,Medium,609.15,10,3.29,13.61,37.15,134,7.27,601,69.41,4.35,15,13.6,Medium,0.6,2021-08-28
NRCAN-A1414,2020-11-18,British Columbia,Open-pit,Cl,Major,1244.22,12,10.08,70.75,41.61,196,7.53,750,98.61,3.79,15,14.7,Medium,0.6,2022-02-02
NRCAN-A1415,2023-03-05,British Columbia,Underground,"Cl,Fc",Major,3992.9,26,13.98,29.23,143.75,397,5.05,185,11.27,4.5,19,15.6,Medium,0.7,2024-06-15
NRCAN-A1416,2022-10-27,British Columbia,Open-pit,"Sv,Ds,Bs",Major,671.4,18,8.56,44.21,45.19,138,7.23,594,12.48,7.81,9,6.6,High,0.85,2023-05-13
NRCAN-A1417,2025-03-05,British Columbia,Underground,Cl,Small,4970.89,21,12.67,76.31,94.04,308,4.41,510,52.32,6.19,5,22.4,Low,0.5,2027-01-06
NRCAN-A1418,2024-10-15,British Columbia,Underground,"Gr,Ds,Bs",Small,1642.22,9,9.37,44.48,51.8,215,9.63,73,5.58,6.28,18,11.8,High,0.8,2025-10-04
NRCAN-A1419,2020-11-30,British Columbia,Open-pit,"At,Sd,Gv",Large,4610.62,9,7.62,22.56,121.63,415,3.51,695,72.75,10.0,5,26.1,Low,0.45,2023-01-22
NRCAN-A142,2024-12-10,British Columbia,Underground,"Cu,Au,Ag",Large,958.27,10,14.72,54.98,104.39,61,6.89,873,99.08,7.01,17,14.5,Medium,0.6,2026-02-18
NRCAN-A1420,2024-02-20,British Columbia,Open-pit,"At,Sd,Gv",Small,947.61,1,19.94,80.12,49.23,245,5.05,467,81.14,8.62,19,10.6,Medium,0.65,2025-01-03
NRCAN-A1421,2021-08-20,British Columbia,Open-pit,"At,Sd,Gv",Major,2831.03,11,37.24,59.96,107.49,255,5.09,621,26.58,8.23,13,12.2,High,0.8,2022-08-21
NRCAN-A1422,2025-06-26,British Columbia,Open-pit,"At,Sd,Gv",Large,262.49,14,47.78,42.02,113.51,175,4.93,862,79.96,7.13,5,19.6,Medium,0.55,2027-02-04
NRCAN-A1423,2023-06-11,British Columbia,Underground,"Au,Ag,Cu",Medium,4007.0,23,45.96,12.56,20.74,232,4.2,227,62.79,4.11,16,23.1,Medium,0.55,2025-05-04
NRCAN-A1424,2023-12-23,British Columbia,Underground,"Au,Ag,Cu",Large,2203.68,26,23.85,24.87,86.72,175,3.88,109,11.94,6.57,18,24.3,Medium,0.5,2025-12-21
NRCAN-A1425,2020-10-03,British Columbia,Open-pit,"Cu,Ag",Large,3498.99,10,23.12,94.61,121.16,370,3.48,261,56.59,5.39,15,28.6,Low,0.4,2023-02-08
NRCAN-A1426,2021-09-10,British Columbia,Open-pit,"Cu,Mo,Ag",Small,881.41,28,6.37,77.18,7.55,108,5.26,974,89.68,7.26,18,17.5,Medium,0.6,2023-02-17
NRCAN-A1427,2023-08-06,British Columbia,Underground,"Mo,Cu",Major,3215.36,14,48.59,8.76,76.18,249,5.65,87,28.99,8.48,15,17.1,Medium,0.6,2024-12-31
NRCAN-A1428,2023-11-14,British Columbia,Open-pit,"Cu,Au,Ag",Medium,2974.41,19,38.03,0.55,125.98,212,4.45,797,65.91,4.33,5,30.1,Low,0.3,2026-05-05
NRCAN-A1429,2021-10-01,British Columbia,Underground,"Au,Ag,Cu",Small,3780.75,26,42.39,17.54,142.91,288,1.22,8,4.16,6.46,4,24.6,Low,0.5,2023-10-09
NRCAN-A143,2024-03-26,British Columbia,Open-pit,"Cu,Ag,Au",Major,1494.03,10,11.78,94.39,98.4,114,5.56,64,83.42,8.63,6,16.2,Medium,0.6,2025-07-25
NRCAN-A1430,2022-06-12,British Columbia,Open-pit,"Cu,Au,Ag",Major,4666.5,17,20.11,58.0,49.17,340,5.18,817,20.59,9.82,8,12.8,High,0.8,2023-07-01
NRCAN-A1432,2024-11-03,British Columbia,Open-pit,"Cl,Cy",Major,4341.94,22,47.05,46.52,4.1,381,5.25,398,52.42,6.01,16,25.8,Low,0.45,2026-12-17
NRCAN-A1408,2025-09-24,British Columbia,Underground,Cl,Medium,413.55,27,22.92,33.32,103.3,96,4.48,732,8.29,4.7,6,14.1,Medium,0.65,2026-11-21
NRCAN-A1459,2022-02-06,British Columbia,Open-pit,"Au,Ag",Medium,1488.09,5,36.91,59.59,141.42,151,7.41,417,30.05,10.0,1,11.5,Medium,0.8,2023-01-17
NRCAN-A1460,2023-05-04,British Columbia,Underground,"Ni,Cu",Major,3720.06,14,23.29,66.38,30.56,379,1.0,253,88.83,5.2,12,24.7,Low,0.4,2025-05-14
NRCAN-A1488,2025-03-10,British Columbia,Open-pit,Sh,Large,1919.91,27,28.45,19.15,46.99,130,7.58,734,32.66,3.99,7,16.7,Medium,0.75,2026-07-24
NRCAN-A1489,2023-10-24,British Columbia,Open-pit,Bn,Medium,65.35,10,0.47,76.97,77.77,16,5.52,989,35.2,7.35,18,12.8,Medium,0.6,2024-11-11
NRCAN-A149,2023-12-14,British Columbia,Open-pit,"Cu,Au,Ag",Large,1661.77,11,26.01,13.76,57.91,176,3.72,580,51.78,6.26,7,26.6,Low,0.35,2026-02-19
NRCAN-A1490,2025-02-11,British Columbia,Open-pit,Ze,Large,3044.59,2,15.58,28.12,118.25,223,1.74,983,9.96,4.53,9,16.9,Medium,0.55,2026-07-02
NRCAN-A1491,2021-11-07,British Columbia,Open-pit,Ze,Medium,1136.26,28,2.97,55.99,91.66,79,5.25,685,69.01,6.62,7,23.4,Medium,0.5,2023-10-10
NRCAN-A1492,2021-01-03,British Columbia,Open-pit,Ls,Small,3442.14,16,22.42,41.35,65.24,191,9.55,995,60.91,5.13,19,21.2,Medium,0.6,2022-10-01
NRCAN-A1493,2022-05-27,British Columbia,Open-pit,Mr,Large,3974.06,27,15.64,95.83,149.59,382,7.88,858,31.87,7.21,4,12.8,High,0.85,2023-06-15
NRCAN-A1494,2024-10-29,British Columbia,Underground,"Au,Cu",Large,2276.79,1,10.3,84.77,132.89,302,4.49,141,63.8,6.79,9,20.1,Medium,0.55,2026-06-24
NRCAN-A1495,2025-02-17,British Columbia,Underground,"Ro,Gs",Large,4379.85,22,17.52,92.18,129.34,320,6.49,100,9.82,6.08,0,18.1,Medium,0.65,2026-08-14
NRCAN-A1496,2023-04-29,British Columbia,Open-pit,"Cu,Au",Large,4275.53,29,9.06,64.07,85.09,384,2.63,972,95.21,4.28,3,29.8,Low,0.35,2025-10-09
NRCAN-A1497,2023-05-04,British Columbia,Underground,Cl,Medium,4391.51,1,15.06,21.89,116.99,381,5.09,787,6.7,4.86,10,13.2,Medium,0.7,2024-06-03
NRCAN-A1498,2022-01-27,British Columbia,Open-pit,Cl,Large,3308.57,22,5.86,51.85,50.38,285,5.55,539,32.88,5.08,0,14.8,Medium,0.65,2023-04-16
NRCAN-A1499,2024-12-05,British Columbia,Underground,Cl,Medium,1530.9,2,4.31,76.55,49.48,229,2.76,370,97.05,4.18,13,22.2,Low,0.4,2026-10-02
NRCAN-A15,2024-10-17,British Columbia,Open-pit,"Cu,Ag,Au",Major,2411.44,12,45.51,6.47,133.81,307,3.69,383,39.84,6.63,11,24.8,Low,0.35,2026-10-31
NRCAN-A150,2024-04-12,British Columbia,Open-pit,"Au,Pb,Zn",Large,3555.45,27,45.15,86.31,89.53,295,4.1,261,88.56,7.01,10,15.5,Medium,0.65,2025-07-21
NRCAN-A1500,2021-03-03,British Columbia,Open-pit,Cl,Medium,1060.71,23,41.42,63.14,51.54,160,6.32,200,15.09,8.67,5,16.3,Medium,0.7,2022-07-05
NRCAN-A1501,2025-11-07,British Columbia,Open-pit,Cl,Medium,3696.83,23,11.59,72.36,126.8,195,6.02,789,6.67,6.26,9,15.1,Medium,0.65,2027-02-03
NRCAN-A1502,2021-11-18,British Columbia,Open-pit,Cl,Major,2744.96,28,36.32,69.43,66.38,250,3.67,342,10.82,6.58,18,19.8,Medium,0.55,2023-07-05
NRCAN-A1503,2022-09-01,British Columbia,Underground,Cl,Medium,489.13,20,29.53,84.78,60.0,189,6.72,252,97.21,4.92,19,19.8,Medium,0.5,2024-04-17
NRCAN-A1504,2024-10-30,British Columbia,Underground,"Cl,Cy",Large,2790.86,18,2.66,8.75,3.93,294,5.53,135,8.88,6.02,0,31.7,Low,0.35,2027-06-08
NRCAN-A1505,2021-03-22,British Columbia,Open-pit,"Cl,Cy",Large,343.21,12,44.99,37.7,101.85,149,8.97,640,65.17,7.28,16,12.8,Medium,0.7,2022-04-10
NRCAN-A1506,2024-12-21,British Columbia,Open-pit,Cl,Large,81.39,27,49.9,50.26,79.9,18,2.98,582,44.06,6.32,6,22.2,Medium,0.5,2026-10-18
NRCAN-A1507,2025-06-17,British Columbia,Open-pit,"Au,Pt,Os",Small,4449.24,23,35.47,54.66,46.77,408,8.74,887,86.08,10.0,19,19.6,Medium,0.75,2027-01-26
NRCAN-A1508,2020-06-07,British Columbia,Underground,Au,Large,2454.68,1,11.65,94.26,20.9,214,4.54,700,29.43,4.75,1,15.1,Medium,0.65,2021-09-03
NRCAN-A1509,2025-01-21,British Columbia,Underground,"Au,Pt",Major,2721.02,28,27.77,4.25,27.36,254,8.67,892,2.89,3.13,6,21.3,Medium,0.6,2026-10-22
NRCAN-A1487,2024-12-27,British Columbia,Underground,"Bn,Cl",Large,3495.97,12,41.64,98.0,15.97,330,3.04,700,80.01,3.3,14,22.3,Low,0.4,2026-10-27
NRCAN-A146,2023-03-04,British Columbia,Open-pit,"Fl,Si,Cu",Large,2807.66,21,5.1,90.93,73.94,197,5.65,985,75.99,4.13,10,22.0,Medium,0.5,2024-12-23
NRCAN-A1486,2024-07-21,British Columbia,Underground,Ls,Medium,2746.3,9,11.46,7.43,49.37,153,4.28,442,92.45,6.53,11,23.2,Low,0.3,2026-06-17
NRCAN-A1484,2025-10-12,British Columbia,Open-pit,"Zn,Cu,Pb",Medium,109.76,14,21.23,69.14,38.57,77,9.67,477,76.09,5.29,2,16.0,Medium,0.55,2027-02-04
NRCAN-A1461,2021-12-20,British Columbia,Underground,Au,Large,2983.61,16,10.68,47.93,95.42,209,8.68,841,53.68,6.82,6,23.4,Medium,0.65,2023-11-22
NRCAN-A1462,2023-11-19,British Columbia,Open-pit,"Tc,Mt",Large,4770.8,15,15.94,10.73,106.08,354,4.11,677,4.34,6.57,12,14.2,Medium,0.7,2025-01-18
NRCAN-A1463,2022-08-13,British Columbia,Open-pit,"Fd,Si,",Large,3015.36,11,23.49,96.22,90.75,206,5.64,949,27.19,6.26,18,16.7,Medium,0.7,2023-12-27
NRCAN-A1464,2025-10-25,British Columbia,Open-pit,Ls,Medium,4510.29,2,11.15,7.85,36.25,380,6.7,596,74.58,6.99,11,26.6,Low,0.35,2028-01-01
NRCAN-A1465,2024-07-05,British Columbia,Open-pit,"Gr,Ds,Bs",Small,1232.83,23,25.85,17.03,110.28,115,7.38,24,38.76,5.95,7,15.9,Medium,0.75,2025-10-25
NRCAN-A1466,2021-11-21,British Columbia,Open-pit,"Au,Ag,Pb",Small,2808.16,24,32.2,81.95,139.43,267,10.0,193,62.59,4.81,4,23.2,Medium,0.6,2023-10-18
NRCAN-A1467,2022-10-05,British Columbia,Open-pit,"Gr,Ds,Bs",Medium,2721.1,18,43.76,49.04,142.82,304,5.98,35,52.45,10.0,16,19.7,Medium,0.65,2024-05-18
NRCAN-A1468,2023-05-31,British Columbia,Open-pit,"Gr,Ds,Bs",Large,4947.37,4,10.65,17.83,101.92,308,6.95,832,90.77,10.0,7,14.2,Medium,0.65,2024-07-30
NRCAN-A1469,2021-10-28,British Columbia,Open-pit,"Gr,Ds,Bs",Major,1030.49,15,15.6,28.62,126.04,214,5.95,171,30.7,5.58,17,13.3,Medium,0.7,2022-12-01
NRCAN-A147,2025-01-03,British Columbia,Open-pit,"Cu,Au,Ag",Major,713.56,12,20.35,99.4,146.79,63,7.51,489,44.61,4.91,10,9.9,Medium,0.75,2025-10-27
NRCAN-A1470,2023-11-02,British Columbia,Open-pit,Au,Small,3062.24,27,11.3,58.4,6.51,185,7.54,763,6.48,7.74,12,13.4,High,0.85,2024-12-08
NRCAN-A1471,2022-08-04,British Columbia,Open-pit,"Ma,Fe,Va",Major,1126.22,27,16.67,40.16,71.55,142,8.1,675,80.5,6.92,14,21.7,Medium,0.6,2024-05-16
NRCAN-A1472,2024-05-13,British Columbia,Open-pit,"Ma,Fe,Ti",Medium,3199.39,3,44.18,87.62,43.71,247,3.31,427,32.58,1.34,3,19.6,Low,0.5,2025-12-22
NRCAN-A1473,2024-09-22,British Columbia,Open-pit,"Au,Ag,Zn",Major,4862.72,4,7.02,47.97,71.22,351,5.14,855,72.19,5.26,9,15.2,Medium,0.55,2025-12-22
NRCAN-A1474,2025-03-04,British Columbia,Open-pit,"Au,Ag,Cu",Small,4733.06,21,22.24,30.79,137.54,251,7.55,457,0.3,2.05,19,14.1,High,0.8,2026-05-01
NRCAN-A1475,2023-10-13,British Columbia,Open-pit,"Au,Ag,Cu",Small,1163.2,16,15.62,16.42,147.51,90,5.07,242,86.74,5.25,2,23.0,Low,0.45,2025-09-02
